seqnames	start	end	width	strand	peak	feature	feature.ranges.start	feature.ranges.end	feature.ranges.width	feature.strand	distance	insideFeature	distanceToSite	symbol
chr1	1053729	1053758	30	*	X000005	54991	1017198	1051736	34539	-	1992	upstream	1992	C1orf159
chr1	1950956	1951189	234	*	X000011	2563	1950768	1962192	11425	+	0	inside	187	GABRD
chr1	2983777	2983911	135	*	X000236	63976	2985742	3355185	369444	+	1830	upstream	1830	PRDM16
chr1	2984182	2984481	300	*	X000237	63976	2985742	3355185	369444	+	1260	upstream	1260	PRDM16
chr1	2984182	2984481	300	*	X000237	440556	2976181	2984289	8109	-	0	overlapStart	0	PRDM16-DT
chr1	2984587	2984706	120	*	X000238	63976	2985742	3355185	369444	+	1035	upstream	1035	PRDM16
chr1	2984587	2984706	120	*	X000238	440556	2976181	2984289	8109	-	297	upstream	297	PRDM16-DT
chr1	2985007	2985035	29	*	X000239	63976	2985742	3355185	369444	+	706	upstream	706	PRDM16
chr1	2985007	2985035	29	*	X000239	440556	2976181	2984289	8109	-	717	upstream	717	PRDM16-DT
chr1	3567547	3567823	277	*	X000354	49856	3547331	3566671	19341	-	875	upstream	875	WRAP73
chr1	3567547	3567823	277	*	X000354	7161	3569129	3652765	83637	+	1305	upstream	1305	TP73
chr1	3568113	3568247	135	*	X000355	49856	3547331	3566671	19341	-	1441	upstream	1441	WRAP73
chr1	3568113	3568247	135	*	X000355	7161	3569129	3652765	83637	+	881	upstream	881	TP73
chr1	3568293	3568588	296	*	X000356	49856	3547331	3566671	19341	-	1621	upstream	1621	WRAP73
chr1	3568293	3568588	296	*	X000356	7161	3569129	3652765	83637	+	540	upstream	540	TP73
chr1	3568668	3569128	461	*	X000357	49856	3547331	3566671	19341	-	1996	upstream	1996	WRAP73
chr1	3568668	3569128	461	*	X000357	7161	3569129	3652765	83637	+	0	upstream	0	TP73
chr1	3569414	3569672	259	*	X000358	7161	3569129	3652765	83637	+	0	inside	284	TP73
chr1	3999496	3999542	47	*	X000374	728716	4000672	4012643	11972	+	1129	upstream	1129	LINC01346
chr1	6302059	6302704	646	*	X000744	390992	6304252	6305638	1387	+	1547	upstream	1547	HES3
chr1	6302957	6302958	2	*	X000745	390992	6304252	6305638	1387	+	1293	upstream	1293	HES3
chr1	6303440	6303559	120	*	X000746	390992	6304252	6305638	1387	+	692	upstream	692	HES3
chr1	6303934	6304162	229	*	X000747	390992	6304252	6305638	1387	+	89	upstream	89	HES3
chr1	6483815	6483979	165	*	X000757	83715	6484848	6521004	36157	+	868	upstream	868	ESPN
chr1	6483987	6484241	255	*	X000758	83715	6484848	6521004	36157	+	606	upstream	606	ESPN
chr1	6484347	6484511	165	*	X000759	83715	6484848	6521004	36157	+	336	upstream	336	ESPN
chr1	6484347	6484511	165	*	X000759	54626	6472498	6484730	12233	-	0	inside	218	HES2
chr1	9711375	9711479	105	*	X000784	5293	9711790	9789172	77383	+	310	upstream	310	PIK3CD
chr1	9711625	9711819	195	*	X000785	5293	9711790	9789172	77383	+	0	overlapStart	0	PIK3CD
chr1	9711865	9711979	115	*	X000786	5293	9711790	9789172	77383	+	0	inside	74	PIK3CD
chr1	10056520	10056550	31	*	X000791	116362	10057255	10076078	18824	+	704	upstream	704	RBP7
